Year,Quarterly,Long Term,PO Number,Department Full Name,Department,Project Shortname,Projects Value,Our Projects / Other Dept. Projects,Project Status 1,Project Status,Savings,P.O. End Date,GAP 1,GAP 2,GAP 3,GAP 4,Finance Approved Value,Created Value,Submitted Value,Built Cost,Invoice Submitted,Month Target,Target,Actual,Stages
2019,Q1,Second 6 Months,853376,E2E Centralized & Qaulity Types ,B2C,Aspirationfhfh WiFi - Core fhfhScope  (1),"1,542,001",Other Projects,3,Current,"1,542,001",30-Apr-22,0,"-3,448",0,0,"1,542,001","1,145,897",  -   ,  -   ,  -   ,18-Sep,90,90,YRE Under Creation
2019,Q4,Second 6 Months,853673,E2E Centralized & Qaulity Types ,B2C,sfsdfsdffs Macffro - PO  sdfsf93073  ,"2,433,987",Other Projects,3,Current,"63,513",20-Mar-22,"-851,865","-3,448",0,0,"1,582,122","1,582,122","1,582,122","1,582,122","1,582,122",18-Dec,128,120,OPE Sergfd
2019,Q4,Second 6 Months,853673,E2E Centralized & Qaulity Types ,B2C,sfsdfsdffs Macffro - PO  sdfsf93073  ,"2,433,987",Other Projects,3,Current,"2,433,987",20-Mar-22,"-851,865","-3,448",0,0,"1,582,122","1,582,122","1,582,122","1,582,122","1,582,122",19-Apr,90,90,TA Approval
2019,Q2,Second 6 Months,853264,E2E Centralized & Qaulity Types ,B2C,TX&sdf 201sdfs9  (3),"1,694,955",Other Projects,3,Current,"1,694,955",31-Oct-20,"-22,075","-3,448",0,"-1,663,075","1,672,880","1,672,880","1,663,075","1,663,075",  -   ,18-Oct,111,96,Pnder Kick On
2019,Q3,Second 6 Months,853144,E2E Centralized & Qaulity Types ,B2C,MSAN dgdgfdgs  (2),"2,357,327",Other Projects,3,Current,"2,357,327",24-Oct-20,0,"-3,448",0,0,"2,357,327","2,357,327","2,357,327","2,357,327","2,357,327",18-Nov,128,110,LK Approval
2019,Q3,Second 6 Months,853144,E2E Centralized & Qaulity Types ,B2C,MSAN dgdgfdgs  (2),"2,357,327",Other Projects,3,Current,"2,357,327",24-Oct-20,0,"-3,448",0,0,"2,357,327","2,357,327","2,357,327","2,357,327","2,357,327",19-Mar,90,89,Hipas vendor
2019,Q1,Second 6 Months,853436,E2E Centralized & Qaulity Types ,B2C,IPMPtyrtyLS 20wer19  ,"7,486,882",Other Projects,3,Current,"7,486,882",08-Dec-20,"-5,007,243","-3,448","-1,501,881",0,"2,479,639","2,479,639","2,479,639","977,758","977,758",19-Sep,90,90,Response Received
2019,Q2,Second 6 Months,853142,E2E Centralized & Qaulity Types ,B2C,MSFGDFGDAN 201aSDFS9  (1),"2,801,082",Other Projects,3,Current,"2,801,082",24-Oct-20,"-9,000","-3,448",0,0,"2,792,082","2,792,082",  -   ,  -   ,  -   ,19-Jun,34,34,Under CVO Issuance
2019,Q2,Second 6 Months,853142,E2E Centralized & Qaulity Types ,B2C,MSFGDFGDAN 201aSDFS9  (1),"2,801,082",Other Projects,3,Current,"2,801,082",24-Oct-20,"-3,448","-3,448",0,0,"2,792,082","2,792,082",  -   ,  -   ,  -   ,19-Feb,90,89,Contq  Issued
2019,Q2,Second 6 Months,853676,E2E Centralized & Qaulity Types ,B2C,Aspirationsdfsfsf Macro - PO  93076  ,"33,988,818",Other Projects,3,Current,"33,988,818",20-Mar-22,"-12,634,343","-3,448","-10,510,793",0,"21,354,475","21,354,475","19,456,521","8,945,728","8,945,728",19-Oct,145,128,TA Approval
2019,Q3,Second 6 Months,853686,E2E Centralized & Qaulity Types ,B2C,Aspirsdfdfsation sfssfsfs - PO  9sfsfsf3080  ,"33,988,818",Other Projects,3,Current,"33,988,818",20-Mar-22,"-100,074","-3,448",-1,"-7,165,380","37,596,596","37,596,596","18,310,074","18,310,073","11,144,693",19-Nov,145,128,Pnder Kick On
2019,Q4,Second 6 Months,853685,E2E Centralized & Qaulity Types ,B2C,Aspiratsfsdfsfion fg - fg 930gf69  ,"33,988,818",Other Projects,3,Current,"33,988,818",20-Mar-22,"-14,001,972","-28,274,636","-13,050,739","-9,945,552","157,517,839","129,243,204","101,567,673","88,516,934","78,571,382",19-Dec,145,128,LK Approval
2021,Q4,First 6 Months,851256-,Negotiation Assurance & Papers ,PAN,IGtwyW 20tyt17 - vPOP ,"45,345,345",Other Projects,2,Closed,"2,400,000",20-Oct-19,"-32,550","-1,640,878","22,333","33,444","40,467","40,467","40,467","40,467","40,467",20-Feb,145,128,ASP Evaluation
